views,uploader,county_code
53,1,21153
24,1,21155
30,,21155
63,1,21157
37,,21157
39,1,21159
12,,21159
21,,21161
44,1,21161
46,1,21163
22,,21163
22,1,21167
14,,21167
10,1,21169
6,,21169
8,1,21171
10,,21171
58,1,21173
44,,21173
61,1,21175
57,,21175
30,1,21177
17,,21177
113,1,21179
75,,21179
11,1,21183
2,,21183
124,1,21185
36,,21185
8,1,21187
32,,21187
11,1,21189
14,,21189
6,1,21191
3,,21191
22,1,21193
9,,21193
89,,21195
171,1,21195
1,,21197
6,1,21197
99,1,21199
47,,21199
9,1,21203
7,,21203
67,1,21205
15,,21205
21,,21207
56,1,21207
203,1,21209
68,,21209
141,1,21211
60,,21211
41,1,21213
7,,21213
10,,21215
9,1,21215
25,1,21217
22,,21217
11,,21221
29,1,21221
4,1,21223
2,,21223
10,1,21225
5,,21225
480,1,21227
200,,21227
2,,21229
9,1,21229
37,,21231
11,1,21231
1,1,21233
120,1,21235
59,,21235
60,1,21239
32,,21239
101,1,22001
66,,22001
12,,22003
23,1,22003
411,1,22005
274,,22005
5,1,22007
44,1,22009
26,,22009
120,1,22011
70,,22011
10,1,22013
12,,22013
360,1,22015
173,,22015
270,,22017
466,1,22017
268,,22019
547,1,22019
1,1,22023
6,1,22027
6,,22027
5,1,22029
2,,22029
7,1,22031
12,,22031
1608,1,22033
618,,22033
3,,22035
2,1,22037
47,,22039
42,1,22039
10,1,22041
30,,22041
3,1,22043
4,,22043
130,1,22045
86,,22045
73,1,22047
49,,22047
3,1,22049
3,,22049
1279,1,22051
597,,22051
32,1,22053
32,,22053
925,1,22055
527,,22055
179,1,22057
129,,22057
4,1,22059
5,,22059
54,,22061
168,1,22061
158,1,22063
167,,22063
5,1,22065
15,1,22067
14,,22067
56,1,22069
40,,22069
3039,1,22071
804,,22071
239,1,22073
142,,22073
55,1,22075
23,,22075
23,1,22077
31,,22077
426,1,22079
184,,22079
2,1,22081
2,,22081
11,1,22083
5,,22083
4,1,22085
1,,22085
85,1,22087
82,,22087
116,1,22089
67,,22089
3,1,22093
6,,22093
73,1,22095
46,,22095
199,1,22097
135,,22097
102,1,22099
103,,22099
97,1,22101
60,,22101
999,1,22103
575,,22103
313,1,22105
176,,22105
189,1,22109
109,,22109
5,1,22111
1,,22111
81,1,22113
45,,22113
103,1,22115
47,,22115
58,1,22117
35,,22117
35,1,22119
46,,22119
26,1,22121
16,,22121
3,1,22123
5,,22123
8,1,22125
7,,22125
6,,22127
16,1,22127
198,,23001
767,1,23001
224,1,23003
71,,23003
1031,,23005
3902,1,23005
