"views","date_id","candidate"
18712,20160206,"Trump"
12718,20160207,"Trump"
24973,20160208,"Trump"
29074,20160209,"Trump"
26340,20160210,"Trump"
21831,20160211,"Trump"
18129,20160212,"Trump"
16912,20160213,"Trump"
19120,20160214,"Trump"
18342,20160215,"Trump"
26966,20160216,"Trump"
26518,20160217,"Trump"
21989,20160218,"Trump"
19680,20160219,"Trump"
23719,20160220,"Trump"
31670,20160221,"Trump"
42136,20160222,"Trump"
41250,20160223,"Trump"
44200,20160224,"Trump"
32979,20160225,"Trump"
33682,20160226,"Trump"
39299,20160227,"Trump"
46409,20160228,"Trump"
57095,20160229,"Trump"
68504,20160301,"Trump"
90976,20160302,"Trump"
53001,20160303,"Trump"
42610,20160304,"Trump"
36987,20160305,"Trump"
46748,20160306,"Trump"
229121,20160307,"Trump"
358332,20160308,"Trump"
117904,20160309,"Trump"
48052,20160310,"Trump"
46527,20160311,"Trump"
55034,20160312,"Trump"
58915,20160313,"Trump"
52375,20160314,"Trump"
88669,20160315,"Trump"
43929,20160316,"Trump"
35148,20160317,"Trump"
44808,20160318,"Trump"
35148,20160319,"Trump"
32393,20160320,"Trump"
32663,20160321,"Trump"
58341,20160322,"Trump"
27730,20160323,"Trump"
23980,20160324,"Trump"
20048,20160325,"Trump"
19166,20160326,"Trump"
19874,20160327,"Trump"
20580,20160328,"Trump"
19465,20160329,"Trump"
18550,20160330,"Trump"
43772,20160331,"Trump"
28731,20160401,"Trump"
19583,20160402,"Trump"
17621,20160403,"Trump"
17388,20160404,"Trump"
49603,20160405,"Trump"
17156,20160406,"Trump"
13457,20160407,"Trump"
11638,20160408,"Trump"
11830,20160409,"Trump"
12217,20160410,"Trump"
16446,20160411,"Trump"
19822,20160412,"Trump"
13043,20160413,"Trump"
15132,20160414,"Trump"
12038,20160415,"Trump"
13820,20160416,"Trump"
13366,20160417,"Trump"
14007,20160418,"Trump"
27864,20160419,"Trump"
55323,20160420,"Trump"
19825,20160421,"Trump"
23789,20160422,"Trump"
24285,20160423,"Trump"
27074,20160424,"Trump"
29505,20160425,"Trump"
27192,20160426,"Trump"
19978,20160427,"Trump"
20402,20160428,"Trump"
21960,20160429,"Trump"
66225,20160430,"Trump"
66537,20160501,"Trump"
69109,20160502,"Trump"
53086,20160503,"Trump"
33465,20160504,"Trump"
33970,20160505,"Trump"
24883,20160506,"Trump"
21720,20160507,"Trump"
20137,20160508,"Trump"
21858,20160509,"Trump"
19347,20160510,"Trump"
17865,20160511,"Trump"
18440,20160512,"Trump"
15769,20160513,"Trump"
16083,20160514,"Trump"
14759,20160515,"Trump"
15094,20160516,"Trump"
15395,20160517,"Trump"
13610,20160518,"Trump"
13147,20160519,"Trump"
12628,20160520,"Trump"
17852,20160521,"Trump"
13494,20160522,"Trump"
12162,20160523,"Trump"
13165,20160524,"Trump"
13996,20160525,"Trump"
15008,20160526,"Trump"
14302,20160527,"Trump"
12795,20160528,"Trump"
11148,20160529,"Trump"
12022,20160530,"Trump"
47057,20160601,"Trump"
84109,20160602,"Trump"
24736,20160603,"Trump"
12614,20160604,"Trump"
77437,20160605,"Trump"
72092,20160606,"Trump"
50833,20160607,"Trump"
37279,20160608,"Trump"
73191,20160609,"Trump"
28637,20160610,"Trump"
17595,20160611,"Trump"
16048,20160612,"Trump"
16291,20160613,"Trump"
15399,20160614,"Trump"
12506,20160615,"Trump"
15999,20160616,"Trump"
14284,20160617,"Trump"
11065,20160618,"Trump"
9061,20160619,"Trump"
23381,20160620,"Trump"
18637,20160621,"Trump"
13203,20160622,"Trump"
168346,20160623,"Trump"
165590,20160624,"Trump"
90230,20160625,"Trump"
92839,20160626,"Trump"
117000,20160627,"Trump"
19921,20160628,"Trump"
17802,20160629,"Trump"
14326,20160630,"Trump"
13776,20160701,"Trump"
8811,20160702,"Trump"
8014,20160703,"Trump"
8167,20160704,"Trump"
10951,20160705,"Trump"
20793,20160706,"Trump"
17383,20160707,"Trump"
10280,20160708,"Trump"
8446,20160709,"Trump"
8446,20160710,"Trump"
8038,20160711,"Trump"
9538,20160712,"Trump"
9403,20160713,"Trump"
9152,20160714,"Trump"
21279,20160715,"Trump"
208910,20160716,"Trump"
173885,20160717,"Trump"
214295,20160718,"Trump"
226720,20160719,"Trump"
1123767,20160720,"Trump"
300466,20160721,"Trump"
181962,20160722,"Trump"
68742,20160723,"Trump"
15686,20160724,"Trump"
118537,20160725,"Trump"
163840,20160726,"Trump"
284510,20160727,"Trump"
190110,20160728,"Trump"
159133,20160729,"Trump"
120649,20160730,"Trump"
58046,20160731,"Trump"
33162,20160801,"Trump"
22760,20160802,"Trump"
19743,20160803,"Trump"
18218,20160804,"Trump"
24340,20160805,"Trump"
46367,20160806,"Trump"
38172,20160807,"Trump"
24721,20160808,"Trump"
15577,20160809,"Trump"
13648,20160810,"Trump"
14135,20160811,"Trump"
10861,20160812,"Trump"
11661,20160813,"Trump"
13097,20160814,"Trump"
11741,20160815,"Trump"
12208,20160816,"Trump"
11228,20160817,"Trump"
16368,20160818,"Trump"
13669,20160819,"Trump"
16228,20160820,"Trump"
12272,20160821,"Trump"
11286,20160822,"Trump"
12404,20160823,"Trump"
30466,20160824,"Trump"
14258,20160825,"Trump"
302315,20160826,"Trump"
421477,20160827,"Trump"
350730,20160828,"Trump"
